Year	KGURes
1476	
1477	
1478	
1479	0.40392
1480	0.23379
1481	0.74746
1482	1.90142
1483	0.88809
1484	1.11347
1485	0.72568
1486	1.27416
1487	0.4145
1488	0.75941
1489	0.84981
1490	1.00442
1491	1.18576
1492	0.86097
1493	1.10962
1494	1.16247
1495	0.4758
1496	1.14969
1497	1.08926
1498	1.62414
1499	1.02453
1500	0.09021
1501	1.34112
1502	1.31253
1503	1.02775
1504	0.97121
1505	0.67126
1506	1.05379
1507	1.78184
1508	1.08019
1509	1.56151
1510	0.50146
1511	0.94912
1512	0.94006
1513	1.19511
1514	0.81018
1515	0.78424
1516	0.60423
1517	1.02113
1518	0.80986
1519	1.30685
1520	0.87522
1521	0.81863
1522	0.28748
1523	0.90673
1524	0.91341
1525	0.84775
1526	1.18113
1527	0.81277
1528	0.90259
1529	0.69379
1530	1.00762
1531	0.86371
1532	0.48421
1533	0.36185
1534	1.34477
1535	1.43063
1536	1.32405
1537	1.19049
1538	0.48187
1539	1.15332
1540	1.9569
1541	1.06815
1542	0.29901
1543	1.07395
1544	1.04143
1545	0.78062
1546	1.28861
1547	1.02995
1548	1.23401
1549	1.46143
1550	1.35926
1551	1.1658
1552	1.20075
1553	1.15974
1554	1.03734
1555	1.45995
1556	1.19874
1557	0.74223
1558	0.6756
1559	1.05741
1560	1.0136
1561	0.65509
1562	1.36099
1563	1.14911
1564	1.63893
1565	1.26301
1566	1.13286
1567	0.66746
1568	1.09969
1569	0.9349
1570	0.94704
1571	0.96755
1572	1.08189
1573	0.96417
1574	0.83356
1575	0.91605
1576	0.86007
1577	1.17977
1578	1.13288
1579	0.83404
1580	0.36786
1581	1.02335
1582	0.71716
1583	0.72131
1584	0.78635
1585	0.87965
1586	1.37596
1587	1.25343
1588	1.10895
1589	0.87721
1590	0.01482
1591	1.53086
1592	1.05336
1593	1.25396
1594	1.65124
1595	0.91283
1596	1.12059
1597	0.24129
1598	0.79659
1599	1.23889
1600	0.56084
1601	1.18197
1602	1.00964
1603	0.91662
1604	1.11949
1605	0.93762
1606	0.97891
1607	0.45827
1608	0.80059
1609	0.91458
1610	1.0656
1611	1.03213
1612	0.72282
1613	0.89681
1614	0.67207
1615	1.00645
1616	1.0911
1617	0.9962
1618	1.04937
1619	0.88921
1620	0.89614
1621	1.09687
1622	0.78193
1623	0.68409
1624	0.6637
1625	0.90224
1626	0.44736
1627	0.93547
1628	0.97152
1629	0.99449
1630	0.9227
1631	0.76507
1632	0.61665
1633	1.21378
1634	1.00452
1635	1.15296
1636	0.99029
1637	0.82911
1638	0.90588
1639	1.11736
1640	1.29519
1641	1.23301
1642	0.98687
1643	0.91864
1644	1.15017
1645	0.89093
1646	0.85535
1647	1.09912
1648	0.56741
1649	1.01489
1650	1.21447
1651	0.73069
1652	0.75029
1653	0.99211
1654	0.29028
1655	1.10661
1656	1.32787
1657	1.12061
1658	0.67879
1659	0.88609
1660	1.05623
1661	0.94354
1662	0.99868
1663	0.66721
1664	0.78026
1665	0.76052
1666	1.17801
1667	0.84991
1668	1.18821
1669	1.11448
1670	0.36545
1671	1.50667
1672	1.59199
1673	1.40051
1674	1.49264
1675	0.99212
1676	0.56398
1677	1.14103
1678	1.43261
1679	1.1459
1680	1.32398
1681	1.00535
1682	1.20938
1683	1.21981
1684	0.37807
1685	0.12294
1686	0.87764
1687	1.46448
1688	1.41927
1689	1.52459
1690	1.1338
1691	1.16277
1692	1.24301
1693	0.91626
1694	1.05755
1695	1.40174
1696	0.64088
1697	0.91118
1698	0.52881
1699	1.151
1700	0.91894
1701	1.40684
1702	0.97978
1703	0.68011
1704	1.06903
1705	1.26303
1706	1.27612
1707	0.74958
1708	1.06376
1709	1.17833
1710	1.31428
1711	0.85623
1712	1.08114
1713	1.18762
1714	1.04019
1715	1.23217
1716	1.11677
1717	0.83256
1718	1.23214
1719	1.3521
1720	1.17491
1721	0.81955
1722	0.50238
1723	1.27301
1724	0.60748
1725	1.35623
1726	1.27167
1727	1.44268
1728	0.43353
1729	0.43698
1730	1.1312
1731	1.18742
1732	1.30188
1733	0.56475
1734	1.26518
1735	0.27991
1736	1.30526
1737	0.8257
1738	1.29481
1739	0.90427
1740	0.61039
1741	1.11093
1742	1.01162
1743	1.39203
1744	0.92584
1745	1.29384
1746	1.03927
1747	1.2277
1748	0.36873
1749	1.34249
1750	0.84873
1751	0.89561
1752	0.58822
1753	1.00469
1754	0.98224
1755	0.74842
1756	1.01393
1757	0.50013
1758	1.21118
1759	1.00531
1760	1.21749
1761	0.90181
1762	1.11867
1763	0.75577
1764	1.07061
1765	0.99546
1766	1.43002
1767	1.04301
1768	1.38646
1769	1.08901
1770	0.73372
1771	1.26476
1772	0.92661
1773	0.37234
1774	0.96856
1775	1.11096
1776	1.02789
1777	0.76017
1778	0.67822
1779	1.14244
1780	0.9201
1781	1.23208
1782	1.1125
1783	1.00053
1784	1.36172
1785	0.62683
1786	1.12882
1787	1.30025
1788	0.56257
1789	1.0665
1790	0.53988
1791	1.24652
1792	1.11666
1793	1.15796
1794	0.952
1795	1.22132
1796	0.97267
1797	0.83986
1798	1.00909
1799	1.07247
1800	0.90841
1801	0.54688
1802	1.24153
1803	0.67118
1804	1.12916
1805	0.75321
1806	0.72529
1807	1.43362
1808	1.14326
1809	1.37483
1810	0.87743
1811	1.20763
1812	1.09615
1813	-0.10888
1814	1.19955
1815	1.2635
1816	1.2014
1817	1.2157
1818	0.42712
1819	0.75731
1820	0.70602
1821	1.20858
1822	0.82686
1823	0.80194
1824	1.1921
1825	1.31911
1826	1.10892
1827	0.72566
1828	1.34241
1829	0.56152
1830	1.02203
1831	0.75548
1832	1.16134
1833	1.1591
1834	0.90121
1835	1.31678
1836	1.21576
1837	1.20834
1838	0.96012
1839	1.17494
1840	1.15555
1841	1.10582
1842	0.66641
1843	0.90787
1844	1.04721
1845	0.45287
1846	1.26541
1847	0.24629
1848	1.02013
1849	1.34336
1850	1.18012
1851	0.53342
1852	1.47986
1853	1.19843
1854	1.04186
1855	1.18328
1856	1.18294
1857	0.99068
1858	0.94708
1859	0.49596
1860	1.08285
1861	0.38756
1862	1.60325
1863	1.38244
1864	0.57268
1865	1.17019
1866	1.52553
1867	1.09415
1868	1.35352
1869	1.14827
1870	0.8897
1871	0.22235
1872	0.6827
1873	0.78875
1874	1.24366
1875	1.0769
1876	1.04217
1877	1.41429
1878	1.1184
1879	0.93097
1880	0.98351
1881	0.68636
1882	0.96351
1883	0.82032
1884	1.29798
1885	1.38633
1886	0.91362
1887	0.78843
1888	1.00958
1889	1.42288
1890	1.42149
1891	1.20883
1892	1.2771
1893	0.86272
1894	0.58102
1895	1.19801
1896	0.40067
1897	1.50052
1898	1.42344
1899	0.59691
1900	0.68889
1901	1.16814
1902	0.62856
1903	1.33267
1904	0.74328
1905	1.50461
1906	1.31956
1907	1.65534
1908	1.10713
1909	1.2197
1910	1.07293
1911	1.20073
1912	1.12302
1913	1.09582
1914	1.2533
1915	1.09542
1916	1.20282
1917	0.99098
1918	0.7514
1919	1.27666
1920	1.20759
1921	0.66124
1922	1.01991
1923	0.69457
1924	0.85315
1925	0.92855
1926	1.09602
1927	1.03177
1928	0.84658
1929	1.18511
1930	0.77521
1931	0.77217
1932	1.12791
1933	0.94135
1934	0.63567
1935	1.09389
1936	0.75458
1937	0.95761
1938	1.06876
1939	1.13089
1940	0.89275
1941	1.2168
1942	1.26666
1943	1.06628
1944	0.78452
1945	0.95351
1946	0.5248
1947	0.75036
1948	0.96985
1949	1.10913
1950	0.92879
1951	0.4091
1952	1.34083
1953	0.85348
1954	0.9942
1955	0.88996
1956	0.68562
1957	1.15581
1958	1.15344
1959	0.48831
1960	1.21052
1961	0.94003
1962	1.18742
1963	0.84047
1964	0.64153
1965	1.0961
1966	1.08384
1967	1.03359
1968	1.07516
1969	1.20397
1970	0.93364
1971	0.65326
1972	1.16334
1973	1.29097
1974	0.98023
1975	1.25501
1976	0.72607
1977	0.11502
1978	1.41347
1979	1.64022
1980	1.24093
1981	0.98994
1982	1.01294
1983	1.09274
1984	0.89723
1985	1.22626
1986	1.03568
1987	0.9805
1988	1.20236
1989	0.7629
1990	0.63902
1991	0.97746
1992	1.10268
1993	1.1549
1994	0.99316
1995	1.19222
1996	0.48983
1997	1.20192
1998	1.03044
1999	1.03906
2000	0.89746
2001	1.02647
2002	0.12928
2003	1.02819
2004	0.95017
2005	1.32674
2006	0.88435
2007	0.96781
2008	1.26633
2009	0.99221
2010	1.21951
2011	0.7944
2012	0.65771
2013	0.80946
2014	1.05709
2015	1.08991
2016	1.07159
2017	1.08612
2018	0.32811
2019	1.23499
2020	0.97133
2021	0.2415
