Year,NB.std,NB.res,KGU.std,KGU.res
1358,1.39736,,,
1359,1.39356,,,
1360,0.73871,,,
1361,0.23085,,,
1362,0.34064,,,
1363,0.54298,,,
1364,0.52986,,,
1365,0.66397,,,
1366,0.80052,1.03175,,
1367,0.88316,1.06014,,
1368,0.94825,1.09124,,
1369,0.55506,0.66662,,
1370,0.75332,0.90182,,
1371,0.37035,0.4991,,
1372,0.51139,0.66624,,
1373,0.89309,1.09503,,
1374,1.02124,1.14555,,
1375,0.90913,1.00282,,
1376,0.50955,0.63663,,
1377,0.86358,1.02821,,
1378,1.63858,1.73146,,
1379,1.02518,0.93468,,
1380,1.58272,1.57765,,
1381,1.59632,1.55805,,
1382,1.05183,0.84149,,
1383,0.97417,0.86687,,
1384,0.82956,0.7716,,
1385,0.99061,0.9054,,
1386,1.04324,0.99277,,
1387,0.87283,0.84729,,
1388,1.33127,1.35951,,
1389,0.79618,0.76213,,
1390,0.50451,0.50594,,
1391,0.60104,0.72709,,
1392,1.04857,1.14203,,
1393,1.00992,1.02642,,
1394,1.23093,1.28483,,
1395,1.04444,1.33138,,
1396,1.18127,1.40533,,
1397,1.03973,1.26033,,
1398,0.9257,1.22248,,
1399,0.99163,1.02662,,
1400,0.31954,0.32298,,
1401,0.83218,0.94682,,
1402,0.74416,0.82807,,
1403,1.08016,1.12361,,
1404,1.8891,1.96544,,
1405,1.65612,1.54896,,
1406,1.67541,1.52369,,
1407,1.38334,1.2329,,
1408,1.20119,0.98303,,
1409,1.65953,1.42868,,
1410,1.17301,0.89075,,
1411,0.77091,0.58196,,
1412,1.47365,1.35292,,
1413,0.64553,0.7186,,
1414,1.19721,1.59118,,
1415,1.46385,1.24889,,
1416,1.24686,1.28504,,
1417,1.42184,1.30157,,
1418,1.27684,1.09407,,
1419,1.18846,1.06608,,
1420,1.70875,1.39533,,
1421,0.71653,0.58432,,
1422,1.24188,1.27494,,
1423,0.89976,0.83392,,
1424,1.43106,1.35867,,
1425,1.10811,0.99552,,
1426,1.13658,1.15211,,
1427,1.50909,1.43639,,
1428,1.42365,1.237,,
1429,1.10931,0.99297,,
1430,1.32103,1.24524,,
1431,1.46974,1.26411,,
1432,1.24061,1.08675,,
1433,1.24723,1.52052,,
1434,1.04204,0.9674,,
1435,0.75465,0.52324,,
1436,1.22144,1.06168,,
1437,1.03986,0.73098,,
1438,0.52621,0.38486,,
1439,0.94918,1.0198,,
1440,1.01484,1.02134,,
1441,1.35028,1.37798,,
1442,0.92966,0.85251,,
1443,0.56519,0.54777,,
1444,0.70792,0.84339,,
1445,0.90149,0.98148,,
1446,0.63076,0.71119,,
1447,0.89486,1.07122,,
1448,0.65183,0.71777,,
1449,0.53077,0.59174,,
1450,0.54959,0.6615,,
1451,1.20035,1.32183,,
1452,1.19144,1.23728,,
1453,1.39709,1.48558,,
1454,1.17311,1.11923,,
1455,0.53317,0.34303,,
1456,0.56576,0.75678,,
1457,0.76831,0.83879,,
1458,1.3038,1.43377,,
1459,0.66131,0.655,,
1460,0.64266,0.73741,,
1461,0.56415,0.63369,,
1462,1.24623,1.44082,,
1463,0.78512,0.81001,,
1464,0.32504,0.41985,,
1465,0.49888,0.72035,,
1466,1.30115,1.73202,,
1467,1.41921,1.43014,,
1468,1.27412,1.35953,,
1469,1.06424,1.23205,,
1470,0.80732,0.87316,,
1471,0.32216,0.33592,,
1472,0.43674,0.5919,,
1473,0.81356,0.97043,,
1474,0.87893,0.9585,,
1475,0.89879,0.98994,,
